Type,Algorithm,Time,Comparisons
ALMOST_2000,MSD Radix + Quick,0.856859,10657
WITHPREFIX_2000,std::sort,1.75085,25449
WITHPREFIX_2000,MergeSort LCP,9.27152,337315
WITHPREFIX_2000,Ternary QuickSort,1.48056,51091
WITHPREFIX_2000,MSD Radix,5.12086,0
WITHPREFIX_2000,MSD Sort,1.5059,51091
WITHPREFIX_2000,MSD Radix + Quick,3.71793,7968
RANDOM_2100,std::sort,1.70654,26822
RANDOM_2100,MergeSort LCP,4.64098,49360
RANDOM_2100,Ternary QuickSort,1.15181,25966
RANDOM_2100,MSD Radix,2.29622,0
RANDOM_2100,MSD Sort,1.15108,25966
RANDOM_2100,MSD Radix + Quick,0.743042,8496
REVERSED_2100,std::sort,0.300275,6321
REVERSED_2100,MergeSort LCP,4.02895,29404
REVERSED_2100,Ternary QuickSort,4.05967,95196
REVERSED_2100,MSD Radix,2.40427,0
REVERSED_2100,MSD Sort,3.70666,95196
REVERSED_2100,MSD Radix + Quick,1.40048,25255
ALMOST_2100,std::sort,0.502192,11309
ALMOST_2100,MergeSort LCP,4.25769,34636
ALMOST_2100,Ternary QuickSort,2.94948,74981
ALMOST_2100,MSD Radix,2.5248,0
ALMOST_2100,MSD Sort,2.9517,74981
ALMOST_2100,MSD Radix + Quick,0.867083,11555
WITHPREFIX_2100,std::sort,1.7181,26145
WITHPREFIX_2100,MergeSort LCP,9.63957,357474
WITHPREFIX_2100,Ternary QuickSort,1.56056,54130
WITHPREFIX_2100,MSD Radix,5.17344,0
WITHPREFIX_2100,MSD Sort,1.63834,54130
WITHPREFIX_2100,MSD Radix + Quick,3.69921,8520
RANDOM_2200,std::sort,1.76137,28258
RANDOM_2200,MergeSort LCP,4.89709,52148
RANDOM_2200,Ternary QuickSort,1.10898,24194
RANDOM_2200,MSD Radix,2.31637,0
RANDOM_2200,MSD Sort,1.10365,24194
RANDOM_2200,MSD Radix + Quick,0.794867,9125
REVERSED_2200,std::sort,0.308334,6621
REVERSED_2200,MergeSort LCP,4.01771,31548
REVERSED_2200,Ternary QuickSort,3.8819,102249
REVERSED_2200,MSD Radix,2.30387,0
REVERSED_2200,MSD Sort,3.87128,102249
REVERSED_2200,MSD Radix + Quick,1.43974,27502
ALMOST_2200,std::sort,0.5208,12522
ALMOST_2200,MergeSort LCP,4.18319,36539
ALMOST_2200,Ternary QuickSort,2.24176,56652
ALMOST_2200,MSD Radix,2.36867,0
ALMOST_2200,MSD Sort,2.29591,56652
ALMOST_2200,MSD Radix + Quick,0.915675,12363
WITHPREFIX_2200,std::sort,1.81248,27572
WITHPREFIX_2200,MergeSort LCP,10.2226,376784
WITHPREFIX_2200,Ternary QuickSort,1.63605,55553
WITHPREFIX_2200,MSD Radix,5.41293,0
WITHPREFIX_2200,MSD Sort,1.58178,55553
WITHPREFIX_2200,MSD Radix + Quick,3.85488,8971
RANDOM_2300,std::sort,1.83789,29455
RANDOM_2300,MergeSort LCP,5.1374,55052
RANDOM_2300,Ternary QuickSort,1.23303,26741
